campaign_id,campaign_date,campaign_topic,customer_segment,audience_size,target_description,control_group_size,sent,opens,clicks,conversions,open_rate,click_rate,open_to_click_rate,conversion_rate
1,2024-06-16,Holiday Sales Event,Seniors 55+,153880,Seniors 55+,8781,145099,42089,13033,6537,29.01,8.98,30.97,4.51
2,2024-06-30,Clearance Sale,General Audience,78541,General Audience,5015,73526,15970,2569,5085,21.72,3.49,16.09,6.92
3,2025-07-30,Fitness Gear Promo,Environment Advocates,141011,Environment Advocates,13036,127975,20823,8516,4552,16.27,6.65,40.9,3.56
4,2025-04-04,Brand Awareness,Frequent Buyers 35-50,155357,Frequent Buyers 35-50,11348,144009,42442,12462,7845,29.47,8.65,29.36,5.45
5,2025-05-27,School Supplies Promo,Environment Advocates,136582,Environment Advocates,13162,123420,33951,9009,5460,27.51,7.3,26.54,4.42
6,2024-12-15,Fitness Gear Promo,Women 25-34,93968,Women 25-34,6409,87559,17903,9174,4419,20.45,10.48,51.24,5.05
7,2024-04-28,Brand Awareness,Seniors 55+,189286,Seniors 55+,13143,176143,33595,21119,11747,19.07,11.99,62.86,6.67
8,2024-09-13,Brand Awareness,Frequent Buyers 35-50,96273,Frequent Buyers 35-50,5635,90638,19319,3155,1234,21.31,3.48,16.33,1.36
9,2025-04-05,School Supplies Promo,Women 25-34,63695,Women 25-34,5975,57720,16742,3087,629,29.01,5.35,18.44,1.09
10,2025-03-07,Major Shopping Event,Shopaholics 25-44,106741,Shopaholics 25-44,8574,98167,23052,8963,3535,23.48,9.13,38.88,3.6
11,2024-09-13,New Product Launch,Women 25-34,193852,Women 25-34,14716,179136,38106,14102,6706,21.27,7.87,37.01,3.74
12,2024-06-16,Holiday Sales Event,Tech Enthusiasts 18-45,51667,Tech Enthusiasts 18-45,3679,47988,8122,2547,3070,16.93,5.31,31.36,6.4
13,2024-05-16,Clearance Sale,Fitness Enthusiasts 18-40,177076,Fitness Enthusiasts 18-40,16035,161041,25535,12286,8955,15.86,7.63,48.11,5.56
14,2025-06-30,Major Shopping Event,Environment Advocates,62307,Environment Advocates,4929,57378,17041,4374,1332,29.7,7.62,25.67,2.32
15,2025-05-02,Holiday Follow Up,Tech Enthusiasts 18-45,164955,Tech Enthusiasts 18-45,10576,154379,36490,18056,4952,23.64,11.7,49.48,3.21
16,2025-01-01,Loyalty Program,Parents 30-50,146892,Parents 30-50,12641,134251,40258,4595,3272,29.99,3.42,11.41,2.44
17,2025-04-05,School Supplies Promo,General Audience,130042,General Audience,6958,123084,23155,9445,3165,18.81,7.67,40.79,2.57
18,2025-07-04,Seasonal Discount,Parents 30-50,146289,Parents 30-50,8020,138269,33151,12041,5915,23.98,8.71,36.32,4.28
19,2024-03-26,Sustainability Product Launch,Young Adults 20-30,128063,Young Adults 20-30,10919,117144,33603,6363,1084,28.69,5.43,18.94,0.93
20,2024-04-30,Loyalty Program,General Audience,59528,General Audience,5013,54515,11201,3301,710,20.55,6.06,29.47,1.3
21,2025-03-05,Holiday Sales Event,Fitness Enthusiasts 18-40,194361,Fitness Enthusiasts 18-40,19390,174971,27320,13459,3947,15.61,7.69,49.26,2.26
22,2024-12-05,Sustainability Product Launch,Women 25-34,89490,Women 25-34,4482,85008,22401,4814,1379,26.35,5.66,21.49,1.62
23,2025-02-21,New Product Launch,Parents 30-50,72200,Parents 30-50,5231,66969,16500,5500,3380,24.64,8.21,33.33,5.05
24,2024-02-19,Loyalty Program,Shopaholics 25-44,90375,Shopaholics 25-44,8150,82225,21697,3584,3849,26.39,4.36,16.52,4.68
25,2024-04-29,Major Shopping Event,Environment Advocates,73513,Environment Advocates,7054,66459,14312,5146,2272,21.54,7.74,35.96,3.42
26,2024-09-06,School Supplies Promo,Environment Advocates,183859,Environment Advocates,17186,166673,40064,9609,2985,24.04,5.77,23.98,1.79
27,2025-06-10,School Supplies Promo,Previous Customers,156206,Previous Customers,13776,142430,23504,16377,2977,16.5,11.5,69.68,2.09
28,2024-02-28,Sustainability Product Launch,Environment Advocates,163385,Environment Advocates,10353,153032,42889,8782,4736,28.03,5.74,20.48,3.09
29,2024-11-01,Clearance Sale,Shopaholics 25-44,195845,Shopaholics 25-44,15840,180005,43248,14190,9604,24.03,7.88,32.81,5.34
30,2024-07-30,Loyalty Program,Fitness Enthusiasts 18-40,84520,Fitness Enthusiasts 18-40,5091,79429,13030,7865,594,16.41,9.9,60.36,0.75
31,2024-09-18,Sustainability Product Launch,Young Professionals 25-40,59741,Young Professionals 25-40,5519,54222,9855,5758,2316,18.18,10.62,58.43,4.27
32,2025-01-05,Major Shopping Event,Fitness Enthusiasts 18-40,149495,Fitness Enthusiasts 18-40,7813,141682,28955,15208,3298,20.44,10.73,52.52,2.33
33,2024-08-05,Fitness Gear Promo,General Audience,188373,General Audience,14509,173864,36457,18091,9886,20.97,10.41,49.62,5.69
34,2025-05-23,Fitness Gear Promo,General Audience,179703,General Audience,11501,168202,40341,9739,905,23.98,5.79,24.14,0.54
35,2025-04-14,Holiday Sales Event,Young Adults 20-30,92401,Young Adults 20-30,5359,87042,23087,2996,1639,26.53,3.44,12.98,1.88
36,2024-11-20,New Product Launch,Previous Customers,68314,Previous Customers,3592,64722,9739,6994,1709,15.05,10.81,71.81,2.64
37,2025-01-23,Holiday Sales Event,Parents 30-50,94815,Parents 30-50,8036,86779,13019,2983,5465,15.0,3.44,22.91,6.3
38,2025-02-21,Loyalty Program,Women 25-34,195803,Women 25-34,18996,176807,37165,18302,7729,21.02,10.35,49.25,4.37
39,2024-02-05,Holiday Follow Up,Young Adults 20-30,194677,Young Adults 20-30,10681,183996,51854,19677,7846,28.18,10.69,37.95,4.26
40,2025-03-15,Fitness Gear Promo,Frequent Buyers 35-50,105864,Frequent Buyers 35-50,9449,96415,19263,3725,3252,19.98,3.86,19.34,3.37
41,2024-08-16,Loyalty Program,Shopaholics 25-44,76995,Shopaholics 25-44,7451,69544,17641,4122,4142,25.37,5.93,23.37,5.96
42,2025-02-28,Clearance Sale,Fitness Enthusiasts 18-40,101776,Fitness Enthusiasts 18-40,9903,91873,16345,5409,1661,17.79,5.89,33.09,1.81
43,2024-03-09,Loyalty Program,Seniors 55+,84777,Seniors 55+,6395,78382,14520,5599,5070,18.53,7.14,38.56,6.47
44,2024-12-04,School Supplies Promo,Shopaholics 25-44,106109,Shopaholics 25-44,7827,98282,28026,7454,6502,28.52,7.58,26.6,6.62
45,2024-08-22,Fitness Gear Promo,Frequent Buyers 35-50,61766,Frequent Buyers 35-50,4642,57124,11267,6072,2675,19.72,10.63,53.89,4.68
46,2024-09-03,School Supplies Promo,Women 25-34,143811,Women 25-34,13343,130468,37318,8952,7410,28.6,6.86,23.99,5.68
