campaign_id,campaign_date,campaign_topic,customer_segment,audience_size,target_description,control_group_size,sent,opens,clicks,conversions,open_rate,click_rate,open_to_click_rate,conversion_rate
1,2024-03-22,School Supplies Promo,General Audience,89805,General Audience,7781,82024,14460,9124,3375,17.63,11.12,63.1,4.12
2,2025-06-24,Holiday Sales Event,Women 25-34,187483,Women 25-34,15158,172325,26328,5895,7646,15.28,3.42,22.39,4.44
3,2024-09-28,Sustainability Product Launch,Fitness Enthusiasts 18-40,165706,Fitness Enthusiasts 18-40,10942,154764,37888,16107,7668,24.48,10.41,42.51,4.95
4,2024-11-08,Holiday Follow Up,Tech Enthusiasts 18-45,136702,Tech Enthusiasts 18-45,12909,123793,19560,11504,7177,15.8,9.29,58.81,5.8
5,2024-03-12,Beta Testing Launch,Environment Advocates,60677,Environment Advocates,4047,56630,14144,2137,2439,24.98,3.77,15.11,4.31
6,2025-03-31,Fitness Gear Promo,Fitness Enthusiasts 18-40,54476,Fitness Enthusiasts 18-40,4434,50042,13092,4834,3034,26.16,9.66,36.92,6.06
7,2025-04-08,Seasonal Discount,Environment Advocates,139640,Environment Advocates,7779,131861,35228,13069,5771,26.72,9.91,37.1,4.38
8,2025-03-08,Beta Testing Launch,Women 25-34,77808,Women 25-34,4670,73138,18596,2314,4359,25.43,3.16,12.44,5.96
9,2025-01-18,Major Shopping Event,Shopaholics 25-44,72630,Shopaholics 25-44,3717,68913,16507,3192,4323,23.95,4.63,19.34,6.27
10,2025-04-13,Seasonal Discount,General Audience,103369,General Audience,7134,96235,17977,7672,707,18.68,7.97,42.68,0.73
11,2025-05-25,Holiday Follow Up,Frequent Buyers 35-50,145389,Frequent Buyers 35-50,13599,131790,26904,7058,3041,20.41,5.36,26.23,2.31
12,2024-03-14,Sustainability Product Launch,Environment Advocates,147838,Environment Advocates,7429,140409,27633,6585,7522,19.68,4.69,23.83,5.36
13,2024-10-18,Fitness Gear Promo,Environment Advocates,166662,Environment Advocates,12421,154241,39886,11571,1826,25.86,7.5,29.01,1.18
14,2024-05-04,Fitness Gear Promo,Environment Advocates,165163,Environment Advocates,16372,148791,28005,11008,7284,18.82,7.4,39.31,4.9
15,2024-04-01,Seasonal Discount,Parents 30-50,88426,Parents 30-50,8166,80260,13423,8843,951,16.73,11.02,65.88,1.19
16,2024-07-01,Clearance Sale,Tech Enthusiasts 18-45,117688,Tech Enthusiasts 18-45,10788,106900,27034,6655,4663,25.29,6.23,24.62,4.36
17,2024-07-14,Major Shopping Event,Tech Enthusiasts 18-45,166683,Tech Enthusiasts 18-45,15764,150919,36113,16494,3663,23.93,10.93,45.67,2.43
